x,y,z
2355,-275,-825
2494,-292,-820
2628,-308,-809
2782,-327,-799
2946,-347,-787
3142,-371,-778
2403,-280,-822
2548,-297,-818
2685,-314,-806
2838,-332,-794
3014,-354,-783
3215,-378,-772
2455,-284,-820
2593,-301,-812
2746,-319,-803
2909,-339,-792
3087,-360,-779
3290,-385,-765
2507,-289,-817
2655,-306,-810
2812,-325,-800
2976,-345,-787
3163,-367,-774
3376,-393,-761
2562,-293,-815
2712,-311,-806
2865,-329,-794
3046,-350,-783
3242,-374,-770
3461,-399,-755
2616,-297,-811
2776,-316,-804
2938,-335,-791
3122,-356,-779
3322,-380,-764
3538,-405,-746
2675,-302,-808
2833,-320,-798
2996,-339,-784
3195,-362,-773
3403,-386,-758
3642,-413,-741
2725,-305,-802
2896,-324,-794
3077,-344,-782
3273,-367,-768
3492,-392,-752
3751,-422,-737
2793,-309,-800
2966,-328,-790
3153,-349,-778
3355,-372,-763
3579,-397,-745
3844,-428,-727
2858,-313,-797
3035,-332,-785
3225,-353,-771
3442,-377,-757
3678,-404,-739
3965,-436,-722
2923,-316,-792
3113,-337,-782
3310,-358,-767
3529,-382,-750
3785,-410,-733
4087,-443,-715
2991,-319,-788
3185,-340,-776
3390,-362,-761
3621,-387,-743
3895,-416,-727
4206,-450,-707
3058,-322,-783
3261,-343,-771
3481,-366,-756
3724,-392,-738
4012,-422,-720
4330,-456,-697
3139,-325,-779
3345,-347,-766
3575,-370,-750
3830,-397,-731
4134,-428,-712
4473,-464,-689
3215,-328,-774
3430,-350,-760
3672,-374,-744
3952,-402,-726
4259,-433,-704
4632,-472,-681
3297,-330,-769
3523,-353,-755
3765,-376,-735
4063,-406,-718
4393,-439,-695
4779,-477,-669
